AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;;;;;;;;;;;;;
01148BP   ;08/12/2012;2;9;M;11;3150;5100;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;30/10/2012;46;5;I;25;3145;2380;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;20/11/2012;3;8;I;8;3137,5;1687,5;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;03/12/2012;2;9;I;7;2860;3293,75;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;31/10/2012;2;9;I;7;2800;3000;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;23/10/2012;2;9;I;11;2760;2000;Sportsbook;;;;;;;;;;;;;;;;
00497XG   ;26/12/2012;638;0;I;986;2742,5;1674,6;Games;;;;;;;;;;;;;;;;
01148BP   ;07/12/2012;2;9;M;7;2700;4950;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;14/10/2012;36;5;I;7;2700;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;23/09/2012;2;9;I;14;2650;1800;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;15/10/2012;36;5;I;6;2600;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;21/09/2012;2;9;I;8;2550;1550;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;15/10/2012;2;9;I;8;2540;1877,5;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;20/10/2012;2;9;N;7;2536,72;4839,22;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;05/09/2012;2;9;I;13;2525;3065,63;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;19/11/2012;3;8;I;7;2500;3200;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;21/10/2012;274;5;I;2;2500;0;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;09/11/2012;22512_XFER;22512;I;619;2428;2557,6;Vegas;;;;;;;;;;;;;;;;
01148BP   ;16/10/2012;2;9;I;7;2393,75;7331,25;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;25/10/2012;22528_PRCH;22528;I;2;2377,08;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;14/10/2012;22528_PRCH;22528;I;2;2365,0121;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;25/10/2012;22527_PRCH;22527;I;2;2313,7433;0;Poker;;;;;;;;;;;;;;;;
01148BP   ;19/12/2012;2;9;I;8;2275;1525;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;19/11/2012;2;9;I;13;2223;1848,73;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;29/09/2012;2;9;M;5;2200;900;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;16/10/2012;22527_PRCH;22527;I;5;2177,5649;0;Poker;;;;;;;;;;;;;;;;
01148BP   ;30/11/2012;2;9;I;7;2162,5;3912,5;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;16/10/2012;22528_PRCH;22528;I;1;2115,3487;0;Casino;;;;;;;;;;;;;;;;
01196ZZ   ;17/10/2012;2;9;I;14;2112;557,05;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;08/12/2012;2;9;I;16;2030;3475,5;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;26/11/2012;2;9;I;7;2020;3820;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;18/09/2012;2;9;I;6;2008;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;23/10/2012;2;9;I;5;2000;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;13/11/2012;2;9;I;7;2000;1837,5;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;02/11/2012;46;5;I;11;1985;2325,56;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;30/10/2012;1;5;I;14;1980;2800;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;08/09/2012;22527_PRCH;22527;I;2;1948,2058;0;Poker;;;;;;;;;;;;;;;;
01148BP   ;12/09/2012;2;9;I;9;1900;3300;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;03/12/2012;22527_PRCH;22527;I;1;1873,5948;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;09/12/2012;22528_PRCH;22528;I;2;1870,4408;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;28/12/2012;22527_PRCH;22527;I;1;1859,6764;0;Poker;;;;;;;;;;;;;;;;
01148BP   ;10/11/2012;2;9;I;7;1850;2400;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;13/11/2012;22512_XFER;22512;I;242;1835;1662,5;Vegas;;;;;;;;;;;;;;;;
01148BP   ;22/10/2012;2;9;I;7;1812,5;562,5;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;01/10/2012;2;9;I;5;1800;3125;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;20/11/2012;2;9;I;5;1800;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;19/10/2012;22527_PRCH;22527;I;6;1796,4444;0;Poker;;;;;;;;;;;;;;;;
