AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;AccountNo;Bet_Amt;Product;;AccountNo;Vegas;Sportsbook;Games;Casino;Poker;Bingo;#NV;Adjustments
00357DG   ;13/11/2012;22512_XFER;22512;I;242;1835;1662,5;Vegas;;;;01148BP   ;1812,5;Sportsbook;;;;;;;;;;
01148BP   ;22/10/2012;2;9;I;7;1812,5;562,5;Sportsbook;;;;01148BP   ;1800;Sportsbook;;;;;;;;;;
01148BP   ;01/10/2012;2;9;I;5;1800;3125;Sportsbook;;;;01196ZZ   ;1800;Sportsbook;;;;;;;;;;
01196ZZ   ;20/11/2012;2;9;I;5;1800;0;Sportsbook;;;;01152SJ   ;1796,4444;Poker;;;;;;;;;;
01152SJ   ;19/10/2012;22527_PRCH;22527;I;6;1796,4444;0;Poker;;;;01152SJ   ;1785,2668;Casino;;;;;;;;;;
01152SJ   ;09/09/2012;22528_PRCH;22528;I;4;1785,2668;0;Casino;;;;01196ZZ   ;1770;Sportsbook;;;;;;;;;;
01196ZZ   ;17/11/2012;2;9;I;9;1770;4270,5;Sportsbook;;;;01152SJ   ;1743,6792;Casino;;;;;;;;;;
01152SJ   ;17/10/2012;22528_PRCH;22528;I;1;1743,6792;0;Casino;;;;01148BP   ;1737,5;Sportsbook;;;;;;;;;;
01148BP   ;29/10/2012;2;9;I;6;1737,5;1806,25;Sportsbook;;;;01152SJ   ;1705,9773;Poker;;;;;;;;;;
01152SJ   ;20/10/2012;22527_PRCH;22527;I;6;1705,9773;0;Poker;;;;01148BP   ;1700,13;Sportsbook;;;;;;;;;;
01148BP   ;15/09/2012;2;9;I;8;1700,13;0;Sportsbook;;;;01148BP   ;1700;Sportsbook;;;;;;;;;;
01148BP   ;11/10/2012;2;9;I;6;1700;0;Sportsbook;;;;01284UW   ;1700;Sportsbook;;;;;;;;;;
01284UW   ;20/10/2012;46;5;I;7;1700;0;Sportsbook;;;;01148BP   ;1680;Sportsbook;;;;;;;;;;
01148BP   ;17/10/2012;2;9;N;4;1680;0;Sportsbook;;;;01152SJ   ;1644,7409;Poker;;;;;;;;;;
01152SJ   ;09/12/2012;22527_PRCH;22527;I;2;1644,7409;0;Poker;;;;00357DG   ;1640;Games;;;;;;;;;;
00357DG   ;12/11/2012;612;0;I;351;1640;1325,25;Games;;;;01148BP   ;1640;Sportsbook;;;;;;;;;;
01148BP   ;15/09/2012;2;9;M;5;1640;1640;Sportsbook;;;;01148BP   ;1600;Sportsbook;;;;;;;;;;
01148BP   ;02/12/2012;2;9;I;5;1600;2450;Sportsbook;;;;01148BP   ;1595;Sportsbook;;;;;;;;;;
01148BP   ;18/10/2012;3;8;I;4;1595;2745;Sportsbook;;;;00357DG   ;1580;Vegas;;;;;;;;;;
00357DG   ;02/11/2012;22512_XFER;22512;I;437;1580;1337,1;Vegas;;;;01152SJ   ;1562,0119;Poker;;;;;;;;;;
01152SJ   ;30/11/2012;22527_PRCH;22527;I;1;1562,0119;0;Poker;;;;01152SJ   ;1557,7677;Poker;;;;;;;;;;
01152SJ   ;15/10/2012;22527_PRCH;22527;I;2;1557,7677;0;Poker;;;;01284UW   ;1554;Sportsbook;;;;;;;;;;
01284UW   ;23/12/2012;46;5;I;33;1554;1369,69;Sportsbook;;;;01148BP   ;1550;Sportsbook;;;;;;;;;;
01148BP   ;22/09/2012;2;9;I;5;1550;0;Sportsbook;;;;00497XG   ;1540,05;Games;;;;;;;;;;
01148BP   ;03/11/2012;2;9;I;3;1550;0;Sportsbook;;;;01152SJ   ;1516,7794;Casino;;;;;;;;;;
00497XG   ;30/12/2012;638;0;I;617;1540,05;1295,26;Games;;;;00C017    ;1500;Poker;;;;;;;;;;
01152SJ   ;01/09/2012;22528_PRCH;22528;I;3;1516,7794;0;Casino;;;;01148BP   ;1500;Sportsbook;;;;;;;;;;
00C017    ;23/11/2012;22527_PRCH;22527;I;4;1500;0;Poker;;;;01152SJ   ;1479,4054;Casino;;;;;;;;;;
01148BP   ;23/11/2012;2;9;N;4;1500;900;Sportsbook;;;;01148BP   ;1450;Sportsbook;;;;;;;;;;
01152SJ   ;04/10/2012;22528_PRCH;22528;I;3;1479,4054;0;Casino;;;;01152SJ   ;1436,9968;Poker;;;;;;;;;;
01148BP   ;07/09/2012;2;9;I;4;1450;0;Sportsbook;;;;01196ZZ   ;1414;Sportsbook;;;;;;;;;;
01148BP   ;07/12/2012;2;9;N;2;1450;2200;Sportsbook;;;;01196ZZ   ;1412;Sportsbook;;;;;;;;;;
01152SJ   ;02/12/2012;22527_PRCH;22527;I;1;1436,9968;0;Poker;;;;01148BP   ;1408,13;Sportsbook;;;;;;;;;;
01196ZZ   ;17/11/2012;3;8;I;9;1414;550;Sportsbook;;;;01148BP   ;1400;Sportsbook;;;;;;;;;;
01196ZZ   ;24/11/2012;2;9;I;12;1412;406,5;Sportsbook;;;;01196ZZ   ;1400;Vegas;;;;;;;;;;
01148BP   ;18/11/2012;2;9;I;5;1408,13;1556,88;Sportsbook;;;;01152SJ   ;1355,7315;Casino;;;;;;;;;;
01148BP   ;06/09/2012;2;9;I;4;1400;0;Sportsbook;;;;01196ZZ   ;1348;Sportsbook;;;;;;;;;;
01196ZZ   ;17/12/2012;22512_XFER;22512;I;16;1400;900;Vegas;;;;01148BP   ;1337,5;Sportsbook;;;;;;;;;;
01152SJ   ;10/12/2012;22528_PRCH;22528;I;1;1355,7315;0;Casino;;;;01148BP   ;1315;Sportsbook;;;;;;;;;;
01196ZZ   ;15/10/2012;2;9;I;5;1348;3773,25;Sportsbook;;;;01152SJ   ;1309,9826;Poker;;;;;;;;;;
01148BP   ;21/11/2012;2;9;I;3;1337,5;900;Sportsbook;;;;01152SJ   ;1306,1579;Casino;;;;;;;;;;
