AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;AccountNo;Bet_Amt;Product;;AccountNo;Vegas;Sportsbook;Games;Casino;Poker;Bingo;#NV;Adjustments
01152SJ   ;15/09/2012;22528_PRCH;22528;I;2;372,2777;0;Casino;;;;00J381    ;270;Sportsbook;;;;;;;;;;
00J381    ;20/12/2012;323;9;M;2;367,5;0;Sportsbook;;;;01148BP   ;268;Sportsbook;;;;;;;;;;
00J381    ;16/09/2012;1;5;M;9;360;0;Sportsbook;;;;01196ZZ   ;267;Sportsbook;;;;;;;;;;
00J381    ;29/12/2012;323;9;N;2;360;0;Sportsbook;;;;01284UW   ;267;Sportsbook;;;;;;;;;;
00357DG   ;08/11/2012;613;0;I;178;354;203;Games;;;;00C017    ;260;Poker;;;;;;;;;;
01284UW   ;04/11/2012;274;5;I;17;354;100;Sportsbook;;;;00J381    ;260;Sportsbook;;;;;;;;;;
00C017    ;18/10/2012;22527_PRCH;22527;I;2;350;0;Poker;;;;01284UW   ;260;Sportsbook;;;;;;;;;;
00C017    ;09/12/2012;22527_PRCH;22527;I;1;350;0;Poker;;;;00J381    ;258;Sportsbook;;;;;;;;;;
00J381    ;24/09/2012;323;9;N;2;350;0;Sportsbook;;;;00C017    ;250;Poker;;;;;;;;;;
00J381    ;03/10/2012;275;5;M;5;350;0;Sportsbook;;;;00J381    ;250;Sportsbook;;;;;;;;;;
00J381    ;04/10/2012;323;9;M;2;350;0;Sportsbook;;;;01148BP   ;250;Sportsbook;;;;;;;;;;
00J381    ;08/10/2012;2;9;M;2;350;0;Sportsbook;;;;01196ZZ   ;250;Sportsbook;;;;;;;;;;
00J381    ;22/11/2012;323;9;M;2;350;1185,94;Sportsbook;;;;01152SJ   ;249,5377;Poker;;;;;;;;;;
00J381    ;10/12/2012;323;9;M;2;350;0;Sportsbook;;;;00J381    ;248,13;Sportsbook;;;;;;;;;;
00J381    ;12/12/2012;323;9;M;2;350;0;Sportsbook;;;;00J381    ;244;Sportsbook;;;;;;;;;;
00J381    ;30/12/2012;323;9;M;2;350;1340,63;Sportsbook;;;;00J381    ;240;Sportsbook;;;;;;;;;;
01148BP   ;02/12/2012;2;9;M;1;350;0;Sportsbook;;;;01196ZZ   ;240;Sportsbook;;;;;;;;;;
01196ZZ   ;28/11/2012;22528_PRCH;22528;I;2;350;0;Casino;;;;01196ZZ   ;237;Casino;;;;;;;;;;
01196ZZ   ;01/12/2012;2;9;I;1;350;0;Sportsbook;;;;01284UW   ;232,9;Sportsbook;;;;;;;;;;
01284UW   ;01/11/2012;275;5;I;4;350;0;Sportsbook;;;;00C017    ;230;Poker;;;;;;;;;;
00C017    ;07/10/2012;22527_PRCH;22527;I;3;348,55;0;Poker;;;;00J381    ;230;Sportsbook;;;;;;;;;;
00J381    ;30/09/2012;40;6;M;2;340;0;Sportsbook;;;;00497XG   ;228,31;Games;;;;;;;;;;
01148BP   ;10/10/2012;2;9;N;1;337,5;0;Sportsbook;;;;01196ZZ   ;227,8;Vegas;;;;;;;;;;
00J381    ;17/09/2012;1;5;M;5;335;0;Sportsbook;;;;00J381    ;227,25;Sportsbook;;;;;;;;;;
00C017    ;08/09/2012;22527_PRCH;22527;I;2;330;0;Poker;;;;01284UW   ;226;Sportsbook;;;;;;;;;;
00C017    ;26/10/2012;22527_PRCH;22527;I;2;330;0;Poker;;;;01196ZZ   ;225;Sportsbook;;;;;;;;;;
00357DG   ;21/11/2012;22512_XFER;22512;I;58;324;124,2;Vegas;;;;01196ZZ   ;225;Casino;;;;;;;;;;
01152SJ   ;08/10/2012;22527_PRCH;22527;I;3;322,2607;0;Poker;;;;01152SJ   ;223,3667;Poker;;;;;;;;;;
00357DG   ;19/11/2012;635;0;I;107;321;141,6;Games;;;;00497XG   ;222,4;Games;;;;;;;;;;
00C017    ;02/11/2012;22527_PRCH;22527;I;2;320;0;Poker;;;;00J381    ;220;Sportsbook;;;;;;;;;;
00J381    ;10/10/2012;323;9;M;3;320;0;Sportsbook;;;;01284UW   ;220;Sportsbook;;;;;;;;;;
00J381    ;12/11/2012;2;9;M;2;320;660;Sportsbook;;;;01152SJ   ;216,3966;Casino;;;;;;;;;;
00J381    ;27/12/2012;42;4;M;1;319;0;Sportsbook;;;;01284UW   ;216;Sportsbook;;;;;;;;;;
00J381    ;01/10/2012;2;9;M;2;316,67;0;Sportsbook;;;;01152SJ   ;215,4744;Casino;;;;;;;;;;
01152SJ   ;11/10/2012;22527_PRCH;22527;I;1;312,1099;0;Poker;;;;01284UW   ;213;Sportsbook;;;;;;;;;;
01152SJ   ;06/11/2012;22528_PRCH;22528;I;5;312,032;0;Casino;;;;00J381    ;212;Sportsbook;;;;;;;;;;
00J381    ;08/10/2012;19;1;M;1;311,31;0;Sportsbook;;;;01196ZZ   ;207;Sportsbook;;;;;;;;;;
00C017    ;14/10/2012;22527_PRCH;22527;I;1;310;0;Poker;;;;00J381    ;205,94;Sportsbook;;;;;;;;;;
00J381    ;10/10/2012;2;9;M;2;310;780;Sportsbook;;;;00J381    ;204;Sportsbook;;;;;;;;;;
00J381    ;02/10/2012;323;9;M;2;308,05;0;Sportsbook;;;;00J381    ;202,25;Sportsbook;;;;;;;;;;
00J381    ;11/12/2012;1;5;M;2;308;0;Sportsbook;;;;00357DG   ;202;Vegas;;;;;;;;;;
00J381    ;17/09/2012;323;9;M;2;306,26;528,13;Sportsbook;;;;00C017    ;200;Poker;;;;;;;;;;
01152SJ   ;04/10/2012;22527_PRCH;22527;I;1;305,3577;0;Poker;;;;00C017    ;200;Sportsbook;;;;;;;;;;
00J381    ;17/10/2012;323;9;M;2;305;0;Sportsbook;;;;00J381    ;200;Sportsbook;;;;;;;;;;
00C017    ;03/09/2012;22527_PRCH;22527;I;2;300;0;Poker;;;;01148BP   ;200;Sportsbook;;;;;;;;;;
00C017    ;19/10/2012;22527_PRCH;22527;I;1;300;0;Poker;;;;01196ZZ   ;200;Casino;;;;;;;;;;
00J381    ;01/09/2012;323;9;M;4;300;0;Sportsbook;;;;01196ZZ   ;200;Vegas;;;;;;;;;;
00J381    ;13/09/2012;323;9;N;2;300;0;Sportsbook;;;;01284UW   ;200;Sportsbook;;;;;;;;;;
00J381    ;18/09/2012;323;9;M;2;300;893,75;Sportsbook;;;;00C017    ;190;Poker;;;;;;;;;;
00J381    ;05/10/2012;323;9;M;2;300;0;Sportsbook;;;;01152SJ   ;186,6368;Casino;;;;;;;;;;
00J381    ;15/10/2012;323;9;M;2;300;0;Sportsbook;;;;01152SJ   ;186,544;Casino;;;;;;;;;;
00J381    ;30/10/2012;323;9;N;2;300;0;Sportsbook;;;;00J381    ;180;Sportsbook;;;;;;;;;;
00J381    ;08/11/2012;323;9;M;2;300;0;Sportsbook;;;;01196ZZ   ;180;Sportsbook;;;;;;;;;;
00J381    ;14/11/2012;323;9;M;2;300;0;Sportsbook;;;;00J381    ;178;Sportsbook;;;;;;;;;;
00J381    ;15/11/2012;2;9;N;2;300;0;Sportsbook;;;;01152SJ   ;174,0428;Casino;;;;;;;;;;
00J381    ;23/11/2012;2;9;M;2;300;0;Sportsbook;;;;01152SJ   ;171,9011;Casino;;;;;;;;;;
00J381    ;04/12/2012;323;9;M;2;300;0;Sportsbook;;;;00J381    ;170;Sportsbook;;;;;;;;;;
00J381    ;16/12/2012;323;9;M;2;300;0;Sportsbook;;;;01152SJ   ;160,0591;Casino;;;;;;;;;;
00J381    ;21/12/2012;323;9;M;2;300;0;Sportsbook;;;;00C017    ;160;Poker;;;;;;;;;;
01148BP   ;26/10/2012;2;9;M;2;300;250;Sportsbook;;;;00J381    ;160;Sportsbook;;;;;;;;;;
01148BP   ;06/12/2012;2;9;I;1;300;0;Sportsbook;;;;00J381    ;160;#NV;;;;;;;;;;
00357DG   ;11/12/2012;CSH_PPAL;0;I;0;295,21;0;Adjustments;;;;01196ZZ   ;160;Sportsbook;;;;;;;;;;
01284UW   ;05/11/2012;274;5;I;12;295;254,55;Sportsbook;;;;00J381    ;155;Sportsbook;;;;;;;;;;
01152SJ   ;19/09/2012;22528_PRCH;22528;I;4;292,6138;0;Casino;;;;01284UW   ;155;Sportsbook;;;;;;;;;;
00J381    ;21/09/2012;323;9;N;2;290;0;Sportsbook;;;;00J381    ;153,63;Sportsbook;;;;;;;;;;
01196ZZ   ;18/09/2012;2;9;I;3;285;0;Sportsbook;;;;00C017    ;152,99;Poker;;;;;;;;;;
01152SJ   ;01/09/2012;22527_PRCH;22527;I;2;284,3962;0;Poker;;;;00357DG   ;151;Games;;;;;;;;;;
00J381    ;18/09/2012;275;5;M;5;283;0;Sportsbook;;;;00J381    ;150,31;Sportsbook;;;;;;;;;;
00J381    ;10/11/2012;323;9;M;2;281,5;1584,38;Sportsbook;;;;00C017    ;150;Poker;;;;;;;;;;
00C017    ;01/09/2012;22527_PRCH;22527;I;2;281;0;Poker;;;;00J381    ;150;Sportsbook;;;;;;;;;;
00J381    ;22/11/2012;2;9;N;3;280;0;Sportsbook;;;;00J381    ;150;#NV;;;;;;;;;;
00J381    ;27/09/2012;42;4;M;2;277,5;277,5;Sportsbook;;;;01284UW   ;150;Sportsbook;;;;;;;;;;
01196ZZ   ;18/11/2012;2;9;I;1;275;0;Sportsbook;;;;00357DG   ;148;Vegas;;;;;;;;;;
00J381    ;25/11/2012;2;9;N;2;274;0;Sportsbook;;;;01284UW   ;145;Sportsbook;;;;;;;;;;
00357DG   ;25/10/2012;22512_XFER;22512;I;136;272;142,6;Vegas;;;;00J381    ;143,13;Sportsbook;;;;;;;;;;
00J381    ;16/09/2012;323;9;M;2;270,87;528,13;Sportsbook;;;;01284UW   ;141,5;Sportsbook;;;;;;;;;;
00J381    ;02/11/2012;323;9;N;2;270;0;Sportsbook;;;;00J381    ;140;Sportsbook;;;;;;;;;;
01148BP   ;03/12/2012;2;9;M;1;268;938;Sportsbook;;;;01284UW   ;140;Sportsbook;;;;;;;;;;
01196ZZ   ;20/10/2012;1;5;I;2;267;427,35;Sportsbook;;;;01152SJ   ;138,5216;Poker;;;;;;;;;;
01284UW   ;04/12/2012;275;5;I;15;267;0;Sportsbook;;;;01152SJ   ;137,5665;Poker;;;;;;;;;;
00C017    ;30/12/2012;22527_PRCH;22527;I;1;260;0;Poker;;;;01152SJ   ;135,7116;Poker;;;;;;;;;;
00J381    ;01/10/2012;323;9;M;1;260;0;Sportsbook;;;;00C017    ;133,5;Bingo;;;;;;;;;;
00J381    ;12/11/2012;323;9;M;2;260;0;Sportsbook;;;;00J381    ;130;Sportsbook;;;;;;;;;;
01284UW   ;30/11/2012;46;5;I;17;260;0;Sportsbook;;;;00357DG   ;126;Games;;;;;;;;;;
00J381    ;16/09/2012;40;6;M;2;258;0;Sportsbook;;;;01152SJ   ;125,6834;Casino;;;;;;;;;;
00C017    ;11/09/2012;22527_PRCH;22527;I;2;250;0;Poker;;;;01152SJ   ;125,4347;Poker;;;;;;;;;;
00C017    ;11/10/2012;22527_PRCH;22527;I;2;250;0;Poker;;;;00J381    ;125;Sportsbook;;;;;;;;;;
00C017    ;27/10/2012;22527_PRCH;22527;I;1;250;0;Poker;;;;01148BP   ;125;Sportsbook;;;;;;;;;;
00C017    ;31/10/2012;22527_PRCH;22527;I;2;250;0;Poker;;;;01152SJ   ;124,8284;Casino;;;;;;;;;;
00C017    ;21/11/2012;22527_PRCH;22527;I;1;250;0;Poker;;;;01152SJ   ;124,7738;Casino;;;;;;;;;;
00C017    ;27/11/2012;22527_PRCH;22527;I;2;250;0;Poker;;;;00C017    ;122;Poker;;;;;;;;;;
00J381    ;18/09/2012;19;1;M;1;250;0;Sportsbook;;;;01284UW   ;121,7;Sportsbook;;;;;;;;;;
00J381    ;24/11/2012;2;9;N;1;250;1500;Sportsbook;;;;00J381    ;120,38;Sportsbook;;;;;;;;;;
00J381    ;27/11/2012;1;5;M;3;250;0;Sportsbook;;;;00C017    ;120;Poker;;;;;;;;;;
00J381    ;14/12/2012;323;9;N;2;250;0;Sportsbook;;;;00J381    ;120;Sportsbook;;;;;;;;;;
00J381    ;18/12/2012;2;9;N;1;250;0;Sportsbook;;;;00357DG   ;116;Games;;;;;;;;;;
00J381    ;19/12/2012;323;9;M;2;250;687,5;Sportsbook;;;;00J381    ;116;#NV;;;;;;;;;;
01148BP   ;02/09/2012;2;9;I;1;250;0;Sportsbook;;;;01284UW   ;115;Sportsbook;;;;;;;;;;
01148BP   ;24/09/2012;2;9;N;1;250;0;Sportsbook;;;;00J381    ;110;Sportsbook;;;;;;;;;;
01148BP   ;06/11/2012;2;9;N;1;250;2500;Sportsbook;;;;01196ZZ   ;105;Sportsbook;;;;;;;;;;
01148BP   ;08/11/2012;2;9;N;1;250;0;Sportsbook;;;;01284UW   ;102;Sportsbook;;;;;;;;;;
01148BP   ;21/11/2012;2;9;M;1;250;687,5;Sportsbook;;;;00J381    ;100,07;Sportsbook;;;;;;;;;;
01148BP   ;04/12/2012;2;9;I;5;250;400;Sportsbook;;;;00357DG   ;100;Sportsbook;;;;;;;;;;
01196ZZ   ;13/10/2012;2;9;M;4;250;1175;Sportsbook;;;;00C017    ;100;Poker;;;;;;;;;;
01152SJ   ;23/12/2012;22527_PRCH;22527;I;6;249,5377;0;Poker;;;;00J381    ;100;Sportsbook;;;;;;;;;;
00J381    ;16/09/2012;325;13;M;1;248,13;496,26;Sportsbook;;;;01196ZZ   ;100;Sportsbook;;;;;;;;;;
00J381    ;06/12/2012;42;4;M;1;244;0;Sportsbook;;;;01196ZZ   ;100;Casino;;;;;;;;;;
00J381    ;23/09/2012;323;9;M;1;240;0;Sportsbook;;;;01196ZZ   ;100;Vegas;;;;;;;;;;
01196ZZ   ;16/10/2012;2;9;I;4;240;550;Sportsbook;;;;01284UW   ;100;Sportsbook;;;;;;;;;;
01196ZZ   ;29/09/2012;22528_PRCH;22528;I;3;237;0;Casino;;;;01152SJ   ;99,3357;Poker;;;;;;;;;;
01284UW   ;24/12/2012;273;3;I;10;232,9;300,71;Sportsbook;;;;00C017    ;97,2;Bingo;;;;;;;;;;
00C017    ;03/12/2012;22527_PRCH;22527;I;3;230;0;Poker;;;;00357DG   ;96;Games;;;;;;;;;;
00J381    ;05/09/2012;323;9;N;2;230;0;Sportsbook;;;;01284UW   ;92;Sportsbook;;;;;;;;;;
00J381    ;12/10/2012;2;9;N;2;230;0;Sportsbook;;;;00357DG   ;90;Games;;;;;;;;;;
00J381    ;04/11/2012;323;9;N;2;230;0;Sportsbook;;;;01196ZZ   ;90;Sportsbook;;;;;;;;;;
00J381    ;19/11/2012;2;9;M;4;230;0;Sportsbook;;;;01284UW   ;88;Sportsbook;;;;;;;;;;
00497XG   ;02/09/2012;452;0;I;369;228,31;123,36;Games;;;;01284UW   ;83,1;Sportsbook;;;;;;;;;;
01196ZZ   ;18/09/2012;22512_XFER;22512;I;79;227,8;112;Vegas;;;;00357DG   ;82;Games;;;;;;;;;;
00J381    ;07/10/2012;40;6;M;1;227,25;900;Sportsbook;;;;01152SJ   ;80,0838;Poker;;;;;;;;;;
01284UW   ;04/12/2012;46;5;I;8;226;304;Sportsbook;;;;00J381    ;80;Sportsbook;;;;;;;;;;
01196ZZ   ;16/10/2012;36;5;I;5;225;0;Sportsbook;;;;00357DG   ;76;Games;;;;;;;;;;
01196ZZ   ;10/11/2012;2;9;I;3;225;175;Sportsbook;;;;01284UW   ;76;Sportsbook;;;;;;;;;;
01196ZZ   ;13/12/2012;22528_PRCH;22528;I;2;225;0;Casino;;;;01284UW   ;75;Sportsbook;;;;;;;;;;
01152SJ   ;15/09/2012;22527_PRCH;22527;I;2;223,3667;0;Poker;;;;00357DG   ;72;Games;;;;;;;;;;
00497XG   ;30/12/2012;601;0;I;85;222,4;156,5;Games;;;;00J381    ;70,13;Sportsbook;;;;;;;;;;
00J381    ;30/09/2012;42;4;M;1;220;0;Sportsbook;;;;01284UW   ;68;Sportsbook;;;;;;;;;;
00J381    ;27/10/2012;2;9;M;2;220;600;Sportsbook;;;;01284UW   ;67;Sportsbook;;;;;;;;;;
00J381    ;27/10/2012;1;5;N;2;220;0;Sportsbook;;;;00357DG   ;64;Games;;;;;;;;;;
00J381    ;27/10/2012;2;9;N;2;220;0;Sportsbook;;;;01284UW   ;64;Sportsbook;;;;;;;;;;
00J381    ;27/10/2012;323;9;M;2;220;0;Sportsbook;;;;01152SJ   ;62,9802;Casino;;;;;;;;;;
00J381    ;19/12/2012;2;9;M;1;220;0;Sportsbook;;;;01152SJ   ;62,1504;Poker;;;;;;;;;;
01284UW   ;25/10/2012;274;5;I;2;220;0;Sportsbook;;;;01152SJ   ;62,004;Casino;;;;;;;;;;
01152SJ   ;17/12/2012;22528_PRCH;22528;I;5;216,3966;0;Casino;;;;01152SJ   ;61,8276;Casino;;;;;;;;;;
01284UW   ;25/12/2012;274;5;I;6;216;12,69;Sportsbook;;;;00357DG   ;60;Games;;;;;;;;;;
01152SJ   ;30/10/2012;22528_PRCH;22528;I;1;215,4744;0;Casino;;;;00J381    ;60;Sportsbook;;;;;;;;;;
01284UW   ;25/12/2012;1;5;I;13;213;41,37;Sportsbook;;;;01196ZZ   ;60;Casino;;;;;;;;;;
00J381    ;20/10/2012;1;5;M;1;212;0;Sportsbook;;;;01196ZZ   ;60;Sportsbook;;;;;;;;;;
01196ZZ   ;18/10/2012;2;9;I;1;207;0;Sportsbook;;;;01284UW   ;58,2;Sportsbook;;;;;;;;;;
00J381    ;23/11/2012;40;6;M;2;205,94;0;Sportsbook;;;;01284UW   ;58;Sportsbook;;;;;;;;;;
00J381    ;23/09/2012;2;9;M;1;204;0;Sportsbook;;;;01284UW   ;55;Sportsbook;;;;;;;;;;
00J381    ;09/11/2012;2;9;M;1;202,25;0;Sportsbook;;;;01284UW   ;54,97;Sportsbook;;;;;;;;;;
00357DG   ;15/09/2012;22512_XFER;22512;I;101;202;127,1;Vegas;;;;00J381    ;50,19;Sportsbook;;;;;;;;;;
00C017    ;15/09/2012;22527_PRCH;22527;I;1;200;0;Poker;;;;00C017    ;50;Poker;;;;;;;;;;
00C017    ;29/09/2012;22527_PRCH;22527;I;2;200;0;Poker;;;;00J381    ;50;Sportsbook;;;;;;;;;;
00C017    ;25/10/2012;22527_PRCH;22527;I;1;200;0;Poker;;;;01196ZZ   ;50;Sportsbook;;;;;;;;;;
00C017    ;24/11/2012;2;9;I;4;200;400;Sportsbook;;;;01196ZZ   ;50;Casino;;;;;;;;;;
00J381    ;06/09/2012;323;9;N;2;200;0;Sportsbook;;;;01284UW   ;50;Sportsbook;;;;;;;;;;
00J381    ;08/09/2012;2;9;M;1;200;0;Sportsbook;;;;00357DG   ;49,8;Bingo;;;;;;;;;;
00J381    ;09/09/2012;323;9;N;1;200;406,25;Sportsbook;;;;00775SM   ;49,25;Games;;;;;;;;;;
00J381    ;11/09/2012;323;9;N;1;200;0;Sportsbook;;;;00357DG   ;48;Games;;;;;;;;;;
00J381    ;14/09/2012;2;9;N;1;200;568,75;Sportsbook;;;;01284UW   ;46;Sportsbook;;;;;;;;;;
00J381    ;24/09/2012;2;9;N;1;200;0;Sportsbook;;;;01284UW   ;41;Sportsbook;;;;;;;;;;
00J381    ;30/09/2012;323;9;N;1;200;3300,78;Sportsbook;;;;01284UW   ;40,3;Sportsbook;;;;;;;;;;
00J381    ;05/10/2012;2;9;M;1;200;0;Sportsbook;;;;01196ZZ   ;40;Sportsbook;;;;;;;;;;
00J381    ;06/10/2012;323;9;M;1;200;0;Sportsbook;;;;01196ZZ   ;40;Casino;;;;;;;;;;
00J381    ;08/10/2012;323;9;M;1;200;0;Sportsbook;;;;01284UW   ;39,51;Sportsbook;;;;;;;;;;
00J381    ;09/10/2012;323;9;M;1;200;0;Sportsbook;;;;01284UW   ;39,3;Sportsbook;;;;;;;;;;
00J381    ;11/10/2012;2;9;M;1;200;0;Sportsbook;;;;00775SM   ;39;Vegas;;;;;;;;;;
00J381    ;14/10/2012;323;9;M;2;200;0;Sportsbook;;;;01284UW   ;38;Sportsbook;;;;;;;;;;
00J381    ;16/10/2012;2;9;N;1;200;0;Sportsbook;;;;01284UW   ;37;Sportsbook;;;;;;;;;;
00J381    ;24/10/2012;323;9;M;2;200;0;Sportsbook;;;;00775SM   ;36,5;Games;;;;;;;;;;
00J381    ;25/10/2012;2;9;M;2;200;0;Sportsbook;;;;00775SM   ;34,75;Games;;;;;;;;;;
00J381    ;05/11/2012;2;9;M;1;200;0;Sportsbook;;;;01284UW   ;34,5;Sportsbook;;;;;;;;;;
00J381    ;10/11/2012;2;9;N;1;200;0;Sportsbook;;;;01152SJ   ;30,9828;Poker;;;;;;;;;;
00J381    ;14/11/2012;40;6;M;1;200;0;Sportsbook;;;;00775SM   ;30,77;Vegas;;;;;;;;;;
00J381    ;17/11/2012;5;11;M;1;200;0;Sportsbook;;;;01284UW   ;30;Sportsbook;;;;;;;;;;
00J381    ;18/11/2012;323;9;M;1;200;0;Sportsbook;;;;01284UW   ;25;Sportsbook;;;;;;;;;;
00J381    ;20/11/2012;323;9;N;1;200;0;Sportsbook;;;;00775SM   ;24,6;Vegas;;;;;;;;;;
00J381    ;25/11/2012;1;5;N;4;200;0;Sportsbook;;;;00357DG   ;24;Games;;;;;;;;;;
00J381    ;26/11/2012;2;9;M;1;200;700;Sportsbook;;;;00775SM   ;24;Vegas;;;;;;;;;;
00J381    ;30/11/2012;323;9;M;1;200;0;Sportsbook;;;;01284UW   ;24;Sportsbook;;;;;;;;;;
00J381    ;01/12/2012;323;9;M;1;200;0;Sportsbook;;;;01284UW   ;20,6;Sportsbook;;;;;;;;;;
00J381    ;08/12/2012;323;9;M;1;200;0;Sportsbook;;;;00357DG   ;20;Casino;;;;;;;;;;
00J381    ;11/12/2012;1;5;I;1;200;0;Sportsbook;;;;00775SM   ;20;Casino;;;;;;;;;;
00J381    ;11/12/2012;323;9;M;1;200;528,13;Sportsbook;;;;01196ZZ   ;20;Sportsbook;;;;;;;;;;
00J381    ;14/12/2012;2;9;M;1;200;0;Sportsbook;;;;01284UW   ;20;Sportsbook;;;;;;;;;;
00J381    ;16/12/2012;1;5;N;2;200;0;Sportsbook;;;;01284UW   ;19;Sportsbook;;;;;;;;;;
00J381    ;17/12/2012;323;9;M;1;200;0;Sportsbook;;;;00497XG   ;18,6;Games;;;;;;;;;;
00J381    ;23/12/2012;323;9;M;1;200;0;Sportsbook;;;;00775SM   ;18;Sportsbook;;;;;;;;;;
01148BP   ;10/09/2012;2;9;I;1;200;0;Sportsbook;;;;01284UW   ;18;Sportsbook;;;;;;;;;;
01148BP   ;11/09/2012;2;9;N;1;200;0;Sportsbook;;;;01284UW   ;13,85;Sportsbook;;;;;;;;;;
01148BP   ;19/09/2012;2;9;I;1;200;0;Sportsbook;;;;01152SJ   ;13,1013;Casino;;;;;;;;;;
01148BP   ;30/09/2012;2;9;M;1;200;0;Sportsbook;;;;00775SM   ;12,8;Games;;;;;;;;;;
01148BP   ;31/10/2012;2;9;N;1;200;0;Sportsbook;;;;01152SJ   ;12,3084;Poker;;;;;;;;;;
01148BP   ;22/11/2012;2;9;I;1;200;0;Sportsbook;;;;01284UW   ;10,7;Sportsbook;;;;;;;;;;
01196ZZ   ;20/10/2012;22528_PRCH;22528;I;1;200;0;Casino;;;;00775SM   ;10;Sportsbook;;;;;;;;;;
01196ZZ   ;07/12/2012;22512_XFER;22512;I;2;200;0;Vegas;;;;01196ZZ   ;10;Sportsbook;;;;;;;;;;
01196ZZ   ;21/12/2012;22512_XFER;22512;I;1;200;0;Vegas;;;;01284UW   ;10;Sportsbook;;;;;;;;;;
01284UW   ;30/10/2012;36;5;I;2;200;0;Sportsbook;;;;01284UW   ;8;Sportsbook;;;;;;;;;;
00C017    ;18/09/2012;22527_PRCH;22527;I;1;190;0;Poker;;;;00775SM   ;6;Sportsbook;;;;;;;;;;
00C017    ;21/10/2012;22527_PRCH;22527;I;2;190;0;Poker;;;;01284UW   ;6;Sportsbook;;;;;;;;;;
01152SJ   ;10/10/2012;22528_PRCH;22528;I;1;186,6368;0;Casino;;;;00775SM   ;5,25;Games;;;;;;;;;;
01152SJ   ;04/11/2012;22528_PRCH;22528;I;1;186,544;0;Casino;;;;00775SM   ;5;Sportsbook;;;;;;;;;;
00J381    ;08/09/2012;2;9;N;1;180;0;Sportsbook;;;;01284UW   ;5;Sportsbook;;;;;;;;;;
00J381    ;27/09/2012;2;9;M;2;180;0;Sportsbook;;;;00497XG   ;4,7;Games;;;;;;;;;;
00J381    ;20/10/2012;323;9;M;1;180;402,19;Sportsbook;;;;01284UW   ;4,5;Sportsbook;;;;;;;;;;
00J381    ;16/11/2012;323;9;M;1;180;1608,75;Sportsbook;;;;00775SM   ;4;Sportsbook;;;;;;;;;;
00J381    ;29/12/2012;1;5;M;3;180;0;Sportsbook;;;;00775SM   ;3;Sportsbook;;;;;;;;;;
01196ZZ   ;29/09/2012;1;5;I;5;180;91,67;Sportsbook;;;;00775SM   ;2,9;Bingo;;;;;;;;;;
00J381    ;17/11/2012;2;9;M;1;178;0;Sportsbook;;;;00775SM   ;2;Games;;;;;;;;;;
01152SJ   ;13/12/2012;22528_PRCH;22528;I;4;174,0428;0;Casino;;;;00497XG   ;1,36;Games;;;;;;;;;;
01152SJ   ;19/10/2012;22528_PRCH;22528;I;1;171,9011;0;Casino;;;;00775SM   ;0,25;Games;;;;;;;;;;
00J381    ;30/09/2012;1;5;M;4;170;0;Sportsbook;;;;00775SM   ;0,13;Games;;;;;;;;;;
00J381    ;30/11/2012;2;9;N;1;170;0;Sportsbook;;;;00357DG   ;0;Vegas;;;;;;;;;;
01152SJ   ;20/09/2012;22528_PRCH;22528;I;1;160,0591;0;Casino;;;;00357DG   ;0;Games;;;;;;;;;;
00C017    ;28/10/2012;22527_PRCH;22527;I;1;160;0;Poker;;;;00357DG   ;0;Bingo;;;;;;;;;;
00J381    ;19/10/2012;2;9;N;1;160;0;Sportsbook;;;;00497XG   ;0;Games;;;;;;;;;;
00J381    ;29/12/2012;;0;N;1;160;0;#NV;;;;00497XG   ;0;#NV;;;;;;;;;;
01196ZZ   ;23/09/2012;1;5;M;2;160;300,91;Sportsbook;;;;00775SM   ;0;Vegas;;;;;;;;;;
00J381    ;29/09/2012;1;5;M;5;155;0;Sportsbook;;;;00775SM   ;0;Games;;;;;;;;;;
01284UW   ;08/12/2012;46;5;I;14;155;97,75;Sportsbook;;;;00775SM   ;0;Bingo;;;;;;;;;;
00J381    ;10/09/2012;45;17;M;1;153,63;0;Sportsbook;;;;00C017    ;0;Poker;;;;;;;;;;
00C017    ;10/11/2012;22527_PRCH;22527;I;2;152,99;0;Poker;;;;00C017    ;0;Bingo;;;;;;;;;;
00357DG   ;05/12/2012;635;0;I;33;151;41,6;Games;;;;00J381    ;0;Sportsbook;;;;;;;;;;
00J381    ;26/11/2012;323;9;M;1;150,31;1343,4;Sportsbook;;;;01148BP   ;0;Sportsbook;;;;;;;;;;
00C017    ;16/09/2012;22527_PRCH;22527;I;2;150;0;Poker;;;;01152SJ   ;0;Poker;;;;;;;;;;
00C017    ;04/12/2012;22527_PRCH;22527;I;1;150;0;Poker;;;;01152SJ   ;0;Casino;;;;;;;;;;
00C017    ;12/12/2012;22527_PRCH;22527;I;2;150;0;Poker;;;;01196ZZ   ;0;Vegas;;;;;;;;;;
00C017    ;23/12/2012;22527_PRCH;22527;I;1;150;0;Poker;;;;01196ZZ   ;0;Casino;;;;;;;;;;
00J381    ;02/09/2012;323;9;M;1;150;0;Sportsbook;;;;01284UW   ;0;Sportsbook;;;;;;;;;;
00J381    ;03/09/2012;323;9;M;1;150;0;Sportsbook;;;;01148BP   ;-300;Sportsbook;;;;;;;;;;
